BIRIM;TARIH;SAAT;CIRO;  altin ;euro;dolar;temperature;special days
B;6.2.2011;17;3832.46;67880,99;21821;16004;9;0
B;6.2.2011;18;3393.19;67880,99;21821;16004;9;0
B;6.2.2011;19;1429.38;67880,99;21821;16004;9;0
B;6.2.2011;20;1301.74;67880,99;21821;16004;9;0
B;6.2.2011;21;1475.28;67880,99;21821;16004;9;0
B;7.2.2011;10;368.82;69421,79;21403;15770;8;0
B;7.2.2011;11;490.74;69421,79;21403;15770;8;0
B;7.2.2011;12;1325.13;69421,79;21403;15770;8;0
B;7.2.2011;13;1286.26;69421,79;21403;15770;8;0
B;7.2.2011;14;3197.29;69421,79;21403;15770;8;0
B;7.2.2011;15;1305.98;69421,79;21403;15770;8;0
B;7.2.2011;16;2205.87;69421,79;21403;15770;8;0
